	8	3	3	3	4	3	3	3	3	2	6	4	3	3	6	2	3	6	3	6	6	3	3	3	3	3	4	6	2	6	4	4	4	3
	4	8	3	6	4	4	6	6	4	4	8	4	4	3	4	4	2	8	3	2	2	6	4	4	4	6	4	3	6	8	2	6	6	2
	3	2	8	4	3	3	4	8	3	3	8	3	4	3	8	4	2	8	2	4	4	4	3	4	4	4	3	3	3	8	3	3	3	2
	8	4	3	8	4	3	2	3	4	4	6	4	4	4	3	4	4	3	3	4	4	4	4	2	3	4	3	4	4	4	4	3	4	3
	3	3	3	4	8	4	4	8	2	3	8	5	4	3	8	3	4	8	4	4	4	4	2	4	5	3	3	4	3	8	4	3	3	2
	3	4	4	3	4	8	4	6	3	3	6	3	3	4	6	4	3	6	4	4	4	3	4	3	1	4	2	6	3	6	3	3	4	3
	4	4	4	2	4	3	8	2	4	4	6	4	3	4	4	3	4	4	4	6	6	2	4	1	3	4	4	6	4	6	4	4	4	4
	9	9	9	9	9	9	9	8	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
	9	9	9	9	9	9	9	9	8	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
	2	4	3	4	3	3	4	6	2	8	6	5	3	3	6	1	3	6	3	4	4	3	4	4	4	4	5	6	1	6	4	3	4	5
	9	9	9	9	9	9	9	9	9	9	8	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
	4	4	4	4	3	4	4	8	5	4	4	8	4	3	4	3	4	4	3	4	4	3	4	4	3	3	4	4	4	8	4	3	3	2
	4	4	4	5	5	4	3	8	5	3	6	5	8	4	8	4	4	4	4	6	6	3	4	4	2	4	4	5	4	6	3	4	4	5
	3	3	2	4	3	4	4	8	3	4	8	4	4	8	8	4	4	8	2	4	4	4	3	4	4	4	4	4	3	8	4	4	4	3
	9	9	9	9	9	9	9	9	9	9	9	9	9	9	8	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
	3	4	4	4	2	4	3	8	2	2	8	3	3	4	8	8	4	8	4	4	4	5	4	5	5	4	4	6	3	8	4	3	5	5
	4	3	3	6	4	4	6	6	4	4	4	6	4	4	6	4	8	6	6	2	3	4	4	4	4	6	4	4	4	4	3	4	4	4
	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	8	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
	2	2	2	3	3	3	4	8	3	2	8	3	4	2	8	3	4	8	8	4	4	3	4	4	3	3	3	3	3	8	3	4	4	3
	4	2	3	6	4	4	6	8	4	4	8	4	4	4	8	4	1	8	4	8	2	4	4	6	4	4	4	3	4	8	3	4	4	4
	4	2	6	6	4	6	6	6	4	6	8	4	6	4	6	6	2	6	4	2	8	6	6	6	6	6	4	3	4	8	2	6	6	3
	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	8	9	9	9	9	9	9	9	9	9	9	9	9
	3	5	3	4	1	4	4	4	1	3	6	5	4	3	4	2	4	4	4	4	4	4	8	4	5	3	3	4	2	4	4	2	3	5
	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	8	9	9	9	9	9	9	9	9	9	9
	2	4	3	3	4	1	3	3	4	4	3	3	2	3	3	3	3	8	3	4	4	2	3	3	8	4	3	4	3	8	1	4	4	3
	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	8	9	9	9	9	9	9	9	9
	3	3	3	3	3	2	5	4	4	3	6	4	3	4	4	4	4	4	3	3	4	5	3	5	2	4	8	5	4	4	2	1	3	5
	6	4	4	6	4	6	6	6	4	6	8	6	6	4	6	6	4	6	4	4	4	6	6	6	6	6	6	8	6	8	6	6	6	6
	2	4	3	4	3	3	4	8	4	1	4	4	3	3	4	2	3	4	3	4	4	3	3	4	3	4	5	4	8	8	4	3	4	4
	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	8	9	9	9	9
	3	2	3	4	4	2	4	6	4	4	8	4	3	4	4	4	2	8	4	2	2	4	4	5	2	6	2	4	4	8	8	5	4	5
	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	8	9	9
	3	4	3	4	3	3	4	8	3	3	8	3	3	3	8	3	3	8	3	3	3	4	3	3	3	2	3	3	3	8	3	3	8	3
	4	4	4	4	4	4	4	8	4	3	4	8	4	3	4	3	4	8	4	4	4	3	4	4	3	3	3	4	4	8	4	4	4	8
